			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
	SMOKE|that|FLOAT|ed.and|ROLLED|in.the|TWI|light.aw|AY|from.the|CHIM.NEY			5		1	1	1			1
	SMOKE|that|FLOAT|ed.and|ROLLED.IN|the|TWI|light|AW|ay|FROM|the|CHIM|ney		1	2		2	1	2			1
	SMOKE|that|FLOAT|ed.and|ROLLED.IN|the|TWI.LIGHT|aw|AY|from|THE.CHIM|ney			4			1	1	2		1
	SMOKE|that|FLOAT|ed.and|ROLLED|in.the|TWI.LIGHT|aw|AY|from.the|CHIM.NEY			5			2	1			2
	SMOKE|that|FLOAT|ed|AND|rolled|IN|the|TWI.LIGHT|aw|AY|from|THE|chim|NEY		1	1		2		3	1		2
	SMOKE|that|FLOAT|ed.and|ROLLED|in.the|TWI.LIGHT|aw|AY|from|THE|chim|NEY		1	3		1	2	2			2
	smoke|THAT|float|ED|and|ROLLED|in|THE|twi|LIGHT|aw|AY|from.the|CHIM|ney		2	1		3	1	2			2
	SMOKE|that|FLOAT|ed.and|ROLLED|in|THE|twi|LIGHT|aw|AY|from|THE|chim|NEY		2	1		2	1	3			2
Floats and rolls no more. Wheeling and falling, instead,	FLOATS|and|ROLLS|no|MORE.WHEEL|ing.and|FALL|ing.in|STEAD [*Bounded]	2		3		1	2		1		
	FLOATS|and|ROLLS|no.more|WHEEL|ing.and|FALL|ing.in|STEAD			3		1	1				
	FLOATS|and.rolls|NO|more|WHEEL|ing.and|FALL|ing.in|STEAD			3		1	1				
	FLOATS|and|ROLLS.NO|more|WHEEL|ing.and|FALL|ing.in|STEAD			3			2		1		
	floats|AND|rolls|NO|more|WHEEL|ing.and|FALL|ing.in|STEAD			2		2	2	1			
	FLOATS|and|ROLLS|no|MORE|wheel|ING|and|FALL|ing.in|STEAD		1	1		2	1	1			1
	FLOATS|and|ROLLS.NO|more|WHEEL|ing.and|FALL.ING|in|STEAD			3			1	1	1		1
	FLOATS|and|ROLLS.NO|more|WHEEL|ing|AND|fall|ING|in|STEAD		1	1		1		2	1		1
	floats|AND|rolls|NO|more|WHEEL|ing.and|FALL.ING|in|STEAD			2		2	1	2			1
	floats|AND|rolls|NO|more|WHEEL|ing|AND|fall|ING|in|STEAD		1			3		3			1
	FLOATS|and|ROLLS.NO|more|WHEEL|ing.and|FALL|ing|IN|stead		1	2		1	1	1	1		1
	FLOATS|and|ROLLS|no|MORE|wheel|ING|and|FALL|ing|IN|stead		2			3		2			2
	floats|AND|rolls|NO|more|WHEEL|ing.and|FALL|ing|IN|stead		1	1		4	1	2			1
Down with a twittering flash go the smooth and inscrutable swallows,	down|WITH|a|TWIT|ter|ING|flash|GO|the|SMOOTH|and.ins|CRU|tab.le|SWAL|lows			2		1	2	2			
	down|WITH|a|TWIT|ter.ing|FLASH.GO|the|SMOOTH|and.ins|CRU|tab.le|SWAL|lows			4			3	1			
	down|WITH|a|TWIT|ter|ING|flash|GO|the|SMOOTH|and.ins|CRU|tab|LE.SWAL|lows			2		1	1	3	1		
	down|WITH|a|TWIT|ter.ing|FLASH.GO|the|SMOOTH|and.ins|CRU|tab|LE.SWAL|lows			4			2	2	1		
	down|WITH|a|TWIT|ter|ING|flash|GO|the|SMOOTH|and|INS|cru|TAB|le|SWAL|lows		1			2		4			2
	down|WITH|a|TWIT|ter|ING|flash|GO|the|SMOOTH|and.ins|CRU|tab|LE|swal|LOWS		1	1		2	1	4			1
	down|WITH|a|TWIT|ter.ing|FLASH.GO|the|SMOOTH|and|INS|cru|TAB|le|SWAL|lows		1	2		1	1	3			2
	down|WITH|a|TWIT|ter.ing|FLASH.GO|the|SMOOTH|and.ins|CRU|tab|LE|swal|LOWS		1	3		1	2	3			1
	DOWN|with|A|twit|TER|ing|FLASH|go|THE|smooth|AND|ins|CRU|tab.le|SWAL|lows		1	1		3	1	5			1
	DOWN|with|A|twit|TER|ing|FLASH|go|THE|smooth|AND|ins|CRU|tab|LE.SWAL|lows		1	1		3		6	1		1
Down to the place made theirs by the cold work of the sea.	DOWN|to|THE|place|MADE|theirs|BY|the|COLD|work|OF|the|SEA					2		4			
	down|TO|the|PLACE.MADE|theirs|BY|the|COLD|work|OF|the|SEA			1		1		3	1		
	down|TO|the|PLACE|made|THEIRS|by|THE|cold|WORK|of.the|SEA			1		2	1	3			
	down|TO|the|PLACE|made|THEIRS|by.the|COLD|work|OF|the|SEA			1		2	1	3			
	down|TO|the|PLACE|made.theirs|BY|the|COLD|work|OF|the|SEA			1		2	1	3			
	down|TO|the.place|MADE|theirs|BY|the|COLD|work|OF|the|SEA			1		2	1	3			
	down.to|THE|place|MADE|theirs|BY|the|COLD|work|OF|the|SEA			1		2	1	3			
	down|TO|the|PLACE|made|THEIRS|by.the|COLD.WORK|of.the|SEA			3		1	2	2			
	DOWN|to|THE|place|MADE|theirs|BY|the|COLD.WORK|of.the|SEA			2		1	1	3	1		
	down|TO|the|PLACE.MADE|theirs|BY|the|COLD.WORK|of.the|SEA			3			1	2	2		
	down|TO|the|PLACE|made|THEIRS|by.the|COLD.WORK|of|THE.SEA			3		1	1	3	1		
	DOWN|to|THE|place|MADE|theirs|BY|the|COLD.WORK|of|THE.SEA			2		1		4	2		
	down|TO|the|PLACE.MADE|theirs|BY|the|COLD.WORK|of|THE.SEA			3				3	3		
Roses have had their day, and the dusk is on yarrow and wormwood	ROS|es.have|HAD|their|DAY|and.the|DUSK|is.on|YA|rrow.and|WORM|wood	2		4		1	2				
	ROS|es|HAVE|had.their|DAY|and.the|DUSK|is.on|YA|rrow.and|WORM|wood			4		1	2				
	ROS|es|HAVE|had.their|DAY|and.the|DUSK|is.on|YA|rrow.and|WORM.WOOD			5			1				1
	ROS|es.have|HAD|their|DAY|and.the|DUSK|is.on|YA|rrow.and|WORM.WOOD			5			1				1
	ROS|es|HAVE|had|THEIR|day|AND|the|DUSK|is.on|YA|rrow.and|WORM|wood			2		2	2	2			
	ROS|es|HAVE|had.their|DAY|and|THE|dusk|IS|on|YA|rrow.and|WORM|wood			2		2	2	2			
	ROS|es.have|HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow.and|WORM|wood			2		2	2	2			
	ROS|es|HAVE.HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow.and|WORM|wood			2		2	1	2	1		
	ROS|es|HAVE|had|THEIR|day|AND|the|DUSK|is.on|YA|rrow.and|WORM.WOOD			3		1	2	2			1
	ROS|es|HAVE|had.their|DAY|and|THE|dusk|IS|on|YA|rrow.and|WORM.WOOD			3		1	2	2			1
	ROS|es.have|HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow.and|WORM.WOOD			3		1	2	2			1
	ROS|es|HAVE|had|THEIR|day|AND|the|DUSK|is.on|YA|rrow|AND|worm|WOOD		1	1		2	1	3			1
	ROS|es|HAVE|had.their|DAY|and|THE|dusk|IS|on|YA|rrow|AND|worm|WOOD		1	1		2	1	3			1
	ROS|es.have|HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow|AND|worm|WOOD		1	1		2	1	3			1
	ROS|es|HAVE|had|THEIR|day|AND|the|DUSK|is|ON|ya|RROW|and|WORM|wood		1			3		4			1
	ROS|es|HAVE.HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow.and|WORM.WOOD			3		1	1	2	1		1
	ROS|es|HAVE.HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow|AND|worm|WOOD		1	1		2		3	1		1
	ROS|es|HAVE.HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow|AND.WORM|wood			2		2		3	2		
	ROS|es|HAVE|had.their|DAY|and.the|DUSK|is.on|YA|rrow|AND|worm|WOOD		1	3		1	3	1			1
	ROS|es.have|HAD|their|DAY|and.the|DUSK|is.on|YA|rrow|AND|worm|WOOD		1	3		1	3	1			1
	ROS|es|HAVE.HAD|their|DAY|and.the|DUSK|is.on|YA|rrow|AND|worm|WOOD		1	3		1	2	1	1		1
	ROS|es.have|HAD|their|DAY|and|THE|dusk|IS|on|YA|rrow|AND.WORM|wood			2		3	1	3	1		
Dusk that is over the grass, drenched with memorial dew;	DUSK|that.is|OV|er.the|GRASS.DRENCHED|with.me|MO|ri.al|DEW	2		5							
	DUSK|that.is|OV|er.the|GRASS.DRENCHED|with.memo|RI|al|DEW			4	1		1				
	dusk|THAT|is|OV|er|THE|grass|DRENCHED|with.memo|RI|al|DEW			1	1	2	1	1			
	dusk|THAT|is|OV|er.the|GRASS|drenched|WITH|memo|RI|al|DEW			1	1	2	1	1			
	dusk|THAT|is|OV|er.the|GRASS.DRENCHED|with.me|MO|ri.al|DEW			4		1	2				
	dusk|THAT|is|OV|er.the|GRASS.DRENCHED|with.memo|RI|al|DEW			3	1	1	2				
	DUSK|that.is|OV|er|THE|grass|DRENCHED|with.me|MO|ri.al|DEW			3		1	2	1			
	DUSK|that.is|OV|er.the|GRASS|drenched|WITH|me|MO|ri.al|DEW			3		1	2	1			
	DUSK|that.is|OV|er|THE|grass|DRENCHED|with.memo|RI|al|DEW			2	1	1	2	1			
	DUSK|that.is|OV|er.the|GRASS|drenched|WITH|memo|RI|al|DEW			2	1	1	2	1			
	dusk|THAT|is|OV|er|THE|grass|DRENCHED|with.me|MO|ri.al|DEW			2		2	2	1			
	dusk|THAT|is|OV|er.the|GRASS|drenched|WITH|me|MO|ri.al|DEW			2		2	2	1			
	dusk|THAT|is|OV|er|THE|grass|DRENCHED|with.me|MO|ri|AL|dew			1		3	1	2			
	dusk|THAT|is|OV|er.the|GRASS|drenched|WITH|me|MO|ri|AL|dew			1		3	1	2			
	DUSK.THAT|is|OV|er|THE|grass|DRENCHED|with.memo|RI|al|DEW			2	1	1	1	1	1		
	DUSK.THAT|is|OV|er.the|GRASS|drenched|WITH|memo|RI|al|DEW			2	1	1	1	1	1		
	dusk|THAT|is|OV|er|THE|grass|DRENCHED|with.me|MO.RI|al|DEW			2		2	1	2			1
	DUSK|that|IS|ov|ER|the|GRASS|drenched|WITH|memo|RI|al|DEW		1		1	2		3			1
	DUSK.THAT|is|OV|er|THE|grass|DRENCHED|with.me|MO|ri|AL|dew			2		2	1	2	1		
	DUSK.THAT|is|OV|er.the|GRASS|drenched|WITH|me|MO|ri|AL|dew			2		2	1	2	1		
	dusk|THAT|is|OV|er|THE|grass|DRENCHED|with.me|MO|ri|AL.DEW			2		2	1	2	1		
	dusk|THAT|is|OV|er.the|GRASS|drenched|WITH|me|MO|ri|AL.DEW			2		2	1	2	1		
	DUSK|that|IS|ov|ER|the|GRASS|drenched|WITH|me|MO|ri.al|DEW		1	1		2	1	3			1
	DUSK|that|IS|ov|ER|the|GRASS|drenched|WITH|me|MO|ri|AL|dew		1			3		4			1
	dusk|THAT|is|OV|er|THE|grass|DRENCHED|with|ME|mo|RI|al|DEW		1			3		3			2
	DUSK.THAT|is|OV|er|THE|grass|DRENCHED|with.me|MO.RI|al|DEW			3		1	1	2	1		1
	DUSK.THAT|is|OV|er|THE|grass|DRENCHED|with.me|MO|ri|AL.DEW			3		1	1	2	2		
	DUSK.THAT|is|OV|er.the|GRASS|drenched|WITH|me|MO|ri|AL.DEW			3		1	1	2	2		
	dusk|THAT|is|OV|er.the|GRASS.DRENCHED|with|ME|mo|RI|al|DEW		1	2		2	1	2			2
	DUSK|that|IS|ov|ER|the|GRASS|drenched|WITH|me|MO|ri|AL.DEW		1	1		2		4	1		1
	DUSK.THAT|is|OV|er|THE|grass|DRENCHED|with|ME|mo|RI|al|DEW		1	1		2		3	1		2
	DUSK.THAT|is|OV|er.the|GRASS.DRENCHED|with|ME|mo|RI|al|DEW		1	3		1	1	2	1		2
Trellises lie like bones in a ruin that once was a garden,	TREL|lis.es|LIE|like|BONES|in.a|RU|in.that|ONCE|was.a|GAR|den	1		4			2				
	TREL|lis|ES|lie|LIKE|bones|IN|a|RU|in|THAT|once|WAS|a|GAR|den					3		2			
	TREL|lis.es|LIE|like|BONES|in.a|RU|in|THAT|once|WAS|a|GAR|den			2		1	2	1			
	TREL|lis.es|LIE.LIKE|bones|IN|a|RU|in|THAT|once|WAS|a|GAR|den			2		2	1	1			
	TREL|lis.es|LIE|like|BONES.IN|a|RU|in|THAT|once|WAS|a|GAR|den			2		1	1	1	1		
	TREL|lis.es|LIE|like|BONES|in.a|RU|in.that|ONCE|was.a|GAR.DEN			5			1	1			1
	trel|LIS|es|LIE|like|BONES|in.a|RU|in|THAT|once|WAS|a|GAR|den		1	1		2	1	2			1
	trel|LIS|es|LIE|like|BONES.IN|a|RU|in|THAT|once|WAS|a|GAR|den		1	1		2		2	1		1
	TREL|lis|ES|lie|LIKE|bones|IN|a|RU|in|THAT.ONCE|was|A.GAR|den			2		2		2	2		
	TREL|lis.es|LIE|like|BONES.IN|a|RU|in|THAT.ONCE|was|A.GAR|den			4			1	1	3		
	trel|LIS|es|LIE|like|BONES.IN|a|RU|in|THAT.ONCE|was.a|GAR|den		1	3		1	1	1	2		1
	trel|LIS|es|LIE|like|BONES.IN|a|RU|in|THAT.ONCE|was|A.GAR|den		1	3		1		2	3		1
Swallows have lingered and ceased, shadows and echoes are all.	SWAL|lows.have|LIN|gered.and|CEASED.SHAD|ows.and|EC|hoes.are|ALL	2		5		1					
	SWAL|lows.have|LIN|gered.and|CEASED.SHAD|ows.and|EC|hoes|ARE|all			4		1	2	1			
	SWAL|lows.have|LIN|gered|AND|ceased|SHAD|ows.and|EC|hoes.are|ALL			3		2	2	1			
	SWAL|lows.have|LIN|gered|AND|ceased|SHAD|ows.and|EC|hoes|ARE|all			2		2	2	2			
	SWAL|lows.have|LIN|gered.and|CEASED|shad|OWS|and|EC|hoes.are|ALL		1	3		1	2				1
	SWAL|lows.have|LIN|gered.and|CEASED|shad|OWS|and|EC|hoes|ARE|all		1	2		1	2	1			1
	SWAL|lows|HAVE|lin|GERED|and|CEASED|shad|OWS|and|EC|hoes|ARE|all		2			2		2			2
	SWAL|lows|HAVE.LIN|gered|AND|ceased|SHAD|ows.and|EC|hoes|ARE|all			2		2	1	2	1		
	SWAL|lows.have|LIN|gered|AND|ceased|SHAD.OWS|and|EC|hoes|ARE|all			2		1	1	2	1		1
	SWAL|lows|HAVE.LIN|gered.and|CEASED|shad|OWS|and|EC|hoes|ARE|all		1	2		1	1	1	1		1
	SWAL|lows|HAVE.LIN|gered|AND|ceased|SHAD.OWS|and|EC|hoes|ARE|all			2		1		2	2		1
	SWAL|lows|HAVE|lin|GERED|and|CEASED|shad|OWS|and|EC|hoes.are|ALL		2	1		2	1	1			2
	SWAL|lows.have|LIN|gered|AND|ceased|SHAD.OWS|and|EC|hoes.are|ALL			3		1	2	1	1		1
	SWAL|lows|HAVE.LIN|gered|AND|ceased|SHAD.OWS|and|EC|hoes.are|ALL			3		1	1	1	2		1
	SWAL|lows.have|LIN|gered|AND|ceased|SHAD|ows|AND|ec|HOES|are|ALL		1	1		3	1	3			1
	swal|LOWS|have|LIN|gered|AND|ceased|SHAD|ows.and|EC|hoes|ARE|all		1	1		3	1	3			1
	SWAL|lows|HAVE.LIN|gered|AND|ceased|SHAD|ows|AND|ec|HOES|are|ALL		1	1		3		3	1		1
	swal|LOWS|have|LIN|gered|AND|ceased|SHAD.OWS|and|EC|hoes|ARE|all		1	1		2		3	1		2
	SWAL|lows.have|LIN|gered.and|CEASED|shad|OWS|and.ec|HOES|are.all		2	4		4	1	1		1	2
Where is he lying to-night, as I turn away down to the valley,	where|IS|he|LY|ing|TO|night|AS|i|TURN|aw|AY|down|TO|the|VAL|ley					1		4			
	where|IS|he|LY|ing.to|NIGHT|as.i|TURN|aw|AY|down|TO|the|VAL|ley			2			2	2			
	WHERE|is.he|LY|ing|TO|night|AS|i|TURN|aw|AY|down|TO|the|VAL|ley			1		1	1	3			
	where|IS|he|LY|ing.to|NIGHT|as|I.TURN|aw|AY|down|TO|the|VAL|ley			2			1	2	1		
	WHERE|is|HE.LY|ing|TO|night|AS|i|TURN|aw|AY|down|TO|the|VAL|ley			1		1		3	1		
	WHERE|is.he|LY|ing.to|NIGHT|as.i|TURN|aw|AY|down|TO|the|VAL|ley			3			3	1			
	WHERE|is|HE|ly|ING|to|NIGHT|as.i|TURN|aw|AY|down|TO|the|VAL|ley		1	1		1	1	2			1
	WHERE|is|HE.LY|ing.to|NIGHT|as.i|TURN|aw|AY|down|TO|the|VAL|ley			3			2	1	1		
	WHERE|is.he|LY|ing.to|NIGHT|as|I.TURN|aw|AY|down|TO|the|VAL|ley			3			2	1	1		
	WHERE|is|HE|ly|ING|to|NIGHT|as|I.TURN|aw|AY|down|TO|the|VAL|ley		1	1		1		2	1		1
	WHERE|is|HE.LY|ing.to|NIGHT|as|I.TURN|aw|AY|down|TO|the|VAL|ley			3			1	1	2		
	WHERE|is.he|LY|ing.to|NIGHT|as.i|TURN|aw|AY|down.to|THE.VAL|ley			5			2	1			
	WHERE|is.he|LY|ing.to|NIGHT|as.i|TURN|aw|AY|down.to|THE|val.ley		1	5		1	1	1		1	
Down where the lamps of men tell me the streets are alive?	down|WHERE|the|LAMPS|of|MEN|tell|ME|the|STREETS|are.al|IVE			1		1	1	1			
	down|WHERE|the|LAMPS|of|MEN|tell|ME|the|STREETS.ARE|al|IVE			1		1		2	1		
	down|WHERE|the|LAMPS|of|MEN.TELL|me|THE|streets|ARE|al|IVE			1		1		2	1		
	down|WHERE|the|LAMPS|of.men|TELL|me.the|STREETS|are.al|IVE			3		1	2				
	down|WHERE|the|LAMPS|of|MEN|tell|ME|the|STREETS|are|AL|ive		1			2		2			1
	down|WHERE|the|LAMPS|of|MEN.TELL|me.the|STREETS|are.al|IVE			3			2		1		
	down|WHERE|the|LAMPS|of|MEN.TELL|me.the|STREETS.ARE|al|IVE			3			1	1	1		
	DOWN|where|THE|lamps|OF|men|TELL|me|THE|streets|ARE|al|IVE					3		5			
	down|WHERE|the|LAMPS|of|MEN.TELL|me.the|STREETS|are|AL|ive		1	2		1	1	1	1		1
	down|WHERE|the|LAMPS|of.men|TELL|me.the|STREETS|are|AL|ive		1	2		2	2	1			1
Where shall I ask, and of whom, in the town or on land or on water,	WHERE|shall.i|ASK|and.of|WHOM|in.the|TOWN|or.on|LAND|or.on|WA|ter	2		5			1				
	where|SHALL|i|ASK|and|OF|whom|IN|the|TOWN|or|ON|land|OR|on|WA|ter					1		3			
	where|SHALL|i|ASK|and|OF|whom|IN|the|TOWN|or.on|LAND|or.on|WA|ter			2			2	1			
	where|SHALL|i|ASK|and.of|WHOM.IN|the|TOWN|or|ON|land|OR|on|WA|ter			2		1	1	2			
	where|SHALL|i|ASK|and|OF|whom|IN|the|TOWN|or.on|LAND|or|ON.WA|ter			2			1	2	1		
	where|SHALL|i|ASK|and.of|WHOM|in.the|TOWN|or.on|LAND|or.on|WA|ter			4			3				
	where|SHALL|i|ASK|and.of|WHOM.IN|the|TOWN|or.on|LAND|or.on|WA|ter			4			3				
	WHERE|shall.i|ASK|and.of|WHOM|in.the|TOWN|or.on|LAND|or.on|WA.TER			6				1			1
News of a time and a place buried alike and with him?	NEWS|of.a|TIME|and.a|PLACE.BUR|ied.al|IKE|and.with|HIM	1		5				1			
	NEWS|of.a|TIME|and.a|PLACE.BUR|ied.al|IKE|and|WITH|him	1		4			2	1			
	NEWS|of.a|TIME|and|A|place|BUR|ied.al|IKE|and|WITH|him			2		1	2	2			
	news|OF|a|TIME|and|A|place|BUR|ied.al|IKE|and|WITH|him			1		2	1	3			
	news|OF|a|TIME|and.a|PLACE.BUR|ied.al|IKE|and|WITH|him			3		1	2	2			
	NEWS|of|A|time|AND|a|PLACE|bur|IED|al|IKE|and|WITH|him		1			2		4			1
	NEWS|of.a|TIME|and.a|PLACE.BUR|ied|AL|ike|AND|with|HIM		1	3		1	2	3			1
	news|OF|a|TIME|and.a|PLACE.BUR|ied|AL|ike|AND|with|HIM		1	2		2	1	4			1
Few now remain who may care, nor may they be wiser for caring,	few|NOW|re|MAIN|who|MAY|care|NOR|may|THEY|be|WIS|er.for|CAR|ing			1		1	1	2			
	few|NOW|re|MAIN|who.may|CARE|nor.may|THEY|be|WIS|er.for|CAR|ing			3			3				
	few|NOW|re|MAIN.WHO|may|CARE|nor.may|THEY|be|WIS|er.for|CAR|ing			3			2		1		
	few|NOW|re|MAIN|who|MAY|care|NOR|may|THEY|be|WIS|er|FOR.CAR|ing			1		1		3	1		
	few|NOW|re|MAIN.WHO|may|CARE|nor|MAY|they|BE|wis|ER|for|CAR|ing		1	1		1		2	1		1
	few|NOW|re|MAIN.WHO|may|CARE|nor.may|THEY|be|WIS|er|FOR.CAR|ing			3			1	1	2		
	few|NOW|re|MAIN.WHO|may|CARE|nor|MAY|they|BE.WIS|er.for|CAR|ing			3			1	1	2		
	few|NOW|re|MAIN|who|MAY|care|NOR|may|THEY|be|WIS|er|FOR|car|ING		1			2		4			1
	few|NOW|re|MAIN.WHO|may|CARE|nor|MAY|they|BE.WIS|er|FOR.CAR|ing			3				2	3		
	FEW|now|RE|main|WHO|may|CARE|nor.may|THEY|be|WIS|er.for|CAR|ing		1	2		2	2	1			1
	few|NOW|re|MAIN|who.may|CARE|nor.may|THEY|be|WIS|er|FOR|car|ING		1	2		1	2	2			1
	FEW|now|RE|main|WHO|may|CARE|nor|MAY|they|BE|wis|ER|for|CAR|ing		2			3		3			2
Where or what manner the doom, whether by day or by night;	WHERE|or.what|MAN|ner.the|DOOM.WH|ether.by|DAY|or.by|NIGHT	2		5							
	where|OR|what|MAN|ner|THE|doom|WH|ether|BY|day|OR|by|NIGHT					2		4			
	where|OR|what|MAN|ner.the|DOOM.WH|ether.by|DAY|or.by|NIGHT			4			2	1			
	WHERE|or.what|MAN|ner|THE|doom|WH|ether.by|DAY|or.by|NIGHT			3		1	2	1			
	where|OR|what|MAN|ner|THE|doom|WH|ether.by|DAY|or.by|NIGHT			2		1	2	2			
	where|OR|what|MAN|ner|THE|doom|WH|ether.by|DAY.OR|by|NIGHT			2		1	1	3			
	where|OR|what|MAN|ner.the|DOOM.WH|ether|BY|day|OR|by|NIGHT			2		1	1	3			
	WHERE|or.what|MAN|ner|THE|doom|WH|ether|BY|day|OR|by|NIGHT			1		2	1	3			
	where|OR|what|MAN|ner|THE|doom|WH|ether.by|DAY|or|BY|night			1		2	1	3			
	WHERE|or|WHAT.MAN|ner|THE|doom|WH|ether|BY|day|OR|by|NIGHT			1		2		3	1		
	WHERE|or|WHAT.MAN|ner|THE|doom|WH|ether.by|DAY.OR|by|NIGHT			3		1	1	2	1		
	WHERE|or|WHAT.MAN|ner.the|DOOM.WH|ether|BY|day|OR|by|NIGHT			3		1	1	2	1		
	WHERE|or|WHAT.MAN|ner|THE|doom|WH|ether.by|DAY|or|BY|night			2		2	1	2	1		
	WHERE|or|WHAT|man|NER|the|DOOM|wh|ETHER|by|DAY|or.by|NIGHT		2	1		2	1	2			2
	WHERE|or|WHAT|man|NER|the|DOOM|wh|ETHER|by|DAY|or|BY|night		2			3		3			2
Whether in Indian deeps or on flood-laden fields of Atlantis,	WH|ether.in|IN|di.an|DEEPS|or.on|FLOOD.LAD|en|FIELDS|of.at|LA|ntis			5			2				
	WH|ether.in|IND|ian|DEEPS|or|ON|flood|LAD|en|FIELDS|of.at|LA|ntis			2	1	1	2	1			
	WH|ether|IN.IND|ian|DEEPS|or|ON|flood|LAD|en|FIELDS|of.at|LA|ntis			2	1	1	1	1	1		
	WH|ether.in|IND|ian|DEEPS|or.on|FLOOD.LAD|en|FIELDS|of.at|LA|ntis			4	1		3				
	WH|ether.in|IN|di.an|DEEPS|or|ON|flood|LAD|en|FIELDS|of.at|LA|ntis			3		1	3	1			
	WH|ether|IN|in|DI|an|DEEPS|or|ON|flood|LAD|en|FIELDS|of.at|LA|ntis		1	1		2	1	2			1
	WH|ether|IN.IND|ian|DEEPS|or.on|FLOOD.LAD|en|FIELDS|of.at|LA|ntis			4	1		2		1		
	WH|ether|IN.IN|di.an|DEEPS|or|ON|flood|LAD|en|FIELDS|of.at|LA|ntis			3		1	2	1	1		
	WH|ether.in|IN|di.an|DEEPS|or.on|FLOOD.LAD|en|FIELDS|of.at|LA.NTIS			6			1	1			1
	WH|ether|IN|in|DI|an|DEEPS|or.on|FLOOD.LAD|en|FIELDS|of.at|LA|ntis		1	3		1	2	1			1
	WH|ether|IN.IND|ian|DEEPS|or|ON|flood|LAD|en|FIELDS|of|AT.LA|ntis			2	1	1		2	2		1
	WH|ether|IN|in|DI|an|DEEPS|or|ON|flood|LAD|en|FIELDS|of|AT.LA|ntis		1	1		2		3	1		2
	WH|ether|IN.IND|ian|DEEPS|or.on|FLOOD.LAD|en|FIELDS|of|AT.LA|ntis			4	1		1	1	2		1
	WH|ether|IN.IN|di.an|DEEPS|or|ON|flood|LAD|en|FIELDS|of|AT.LA|ntis			3		1	1	2	2		1
	WH|ether|IN|in|DI|an|DEEPS|or.on|FLOOD.LAD|en|FIELDS|of|AT.LA|ntis		1	3		1	1	2	1		2
	WH|ether.in|IN|di.an|DEEPS|or.on|FLOOD.LAD|en.fields|OF|at.la|NTIS		1	6		2		2			1
	WH|ether|IN|in|DI|an|DEEPS|or|ON|flood|LAD|en|FIELDS|of|AT|la|NTIS		2			3		4			3
	WH|ether|IN|ind|IAN|deeps|OR|on|FLOOD|lad|EN|fields|OF|at|LA|ntis		2		1	4		4			2
	wh|ETHER|in|IN|di|AN|deeps|OR|on|FLOOD|lad|EN|fields|OF|at|LA|ntis		2			4		5			2
Or by the roaring Horn, shrouded in silence he lies.	or|BY|the|ROAR|ing|HORN|shroud|ED|in|SI|lence|HE|lies		1			2		2			1
	or|BY|the|ROAR|ing|HORN.SHROUD|ed.in|SI|lence|HE|lies			2		1	1	1	1		
	or|BY|the|ROAR|ing|HORN.SHROUD|ed|IN.SI|lence|HE|lies			2		1		1	2		
	or|BY|the|ROAR|ing.horn|SHROUD|ed.in|SI|lence.he|LIES			3		1	2	1			
	or|BY|the|ROAR|ing.horn|SHROUD|ed.in|SI|lence|HE|lies			2		2	2	1			
	or|BY|the|ROAR|ing|HORN|shroud|ED|in|SI|lence.he|LIES		1	1		1	1	2			1
	or|BY|the|ROAR|ing|HORN.SHROUD|ed.in|SI|lence.he|LIES			3			2	1	1		
	or|BY|the|ROAR|ing|HORN|shroud|ED|in|SI|lence|HE.LIES		1	1		1		2	1		1
	or|BY|the|ROAR|ing|HORN.SHROUD|ed|IN|si|LENCE|he|LIES		1	1		1		2	1		1
	or|BY|the|ROAR|ing|HORN.SHROUD|ed.in|SI|lence|HE.LIES			3			1	1	2		
	or|BY|the|ROAR|ing|HORN.SHROUD|ed|IN.SI|lence.he|LIES			3			1	1	2		
	or|BY|the|ROAR|ing|HORN.SHROUD|ed|IN.SI|lence|HE.LIES			3				1	3		
	or|BY|the|ROAR|ing|HORN.SHROUD|ed.in|SI.LENCE|he|LIES			3			1	2	1		1
Few now remain who return by the weed-weary path to his cottage,	few|NOW|re|MAIN|who.re|TURN|by|THE|weed|WE|ary|PATH|to.his|COT|tage			2		1	2	1			
	few|NOW|re|MAIN.WHO|re|TURN|by|THE|weed|WE|ary|PATH|to.his|COT|tage			2		1	1	1	1		
	few|NOW|re|MAIN|who.re|TURN|by.the|WEED.WE|ary|PATH|to.his|COT|tage			4			3				
	few|NOW|re|MAIN.WHO|re|TURN|by.the|WEED.WE|ary|PATH|to.his|COT|tage			4			2		1		
	few|NOW|re|MAIN.WHO|re|TURN|by|THE|weed|WE|ary|PATH|to|HIS.COT|tage			2		1		2	2		
	few|NOW|re|MAIN.WHO|re|TURN|by.the|WEED.WE|ary|PATH|to|HIS.COT|tage			4			1	1	2		
