			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
	few|NOW|re|MAIN|who.may|CARE|nor.may|THEY|be|WIS.ER*|for|CAR|ing			1		1	
	few|NOW|re|MAIN|who.may|CARE|nor.may|THEY|be|WIS|er|FOR*|car.ing*		1			1	1
Where or what manner the doom, whether by day or by night;	WHERE|or.what|MAN|ner.the*|DOOM.WH*|ether.by*|DAY|or.by|NIGHT	2			3		
	WHERE|or.what|MAN|ner|THE*|doom*|WH.ETHER*|by|DAY|or.by|NIGHT					2	1
	WHERE|or.what|MAN|ner|THE*|doom*|WH|ether.by*|DAY|or.by|NIGHT				1	1	1
	WHERE|or.what|MAN.NER*|the|DOOM.WH*|ether.by*|DAY|or.by|NIGHT				2	1	
Whether in Indian deeps or on flood-laden fields of Atlantis,	WH.ETHER*|in|IND|ian|DEEPS|or.on|FLOOD.LAD*|en|FIELDS|of.at*|LA|ntis				2	1	
	WH|ether.in*|IND|ian|DEEPS|or.on|FLOOD.LAD*|en|FIELDS|of.at*|LA|ntis				3		
	WH|ether|IN.IND*|ian|DEEPS|or.on|FLOOD.LAD*|en|FIELDS|of.at*|LA|ntis				3		
	WH.ETHER*|in|IND|ian|DEEPS|or|ON*|flood*|LAD|en|FIELDS|of.at*|LA|ntis				1	2	1
	WH|ether.in*|IND|ian|DEEPS|or|ON*|flood*|LAD|en|FIELDS|of.at*|LA|ntis				2	1	1
	WH.ETHER*|in|IND|ian|DEEPS|or.on|FLOOD.LAD*|en|FIELDS|of|AT.LA*|ntis			1	1	2	
	WH|ether.in*|IND|ian|DEEPS|or.on|FLOOD.LAD*|en|FIELDS|of|AT.LA*|ntis			1	2	1	
	WH.ETHER*|in|IND|ian|DEEPS|or|ON*|flood*|LAD|en|FIELDS|of|AT.LA*|ntis			1		3	1
	WH|ether.in*|IND|ian|DEEPS|or|ON*|flood*|LAD|en|FIELDS|of|AT.LA*|ntis			1	1	2	1
	WH.ETHER*|in|IND|ian|DEEPS|or.on|FLOOD|lad.en*|FIELDS|of.at*|LA|ntis		1	1	1	1	1
	WH|ether.in*|IND|ian|DEEPS|or.on|FLOOD|lad.en*|FIELDS|of.at*|LA|ntis		1	1	2		1
	WH|ether|IN|ind.ian*|DEEPS|or.on|FLOOD.LAD*|en|FIELDS|of.at*|LA|ntis		1	1	2		1
	WH|ether|IN.IND*|ian|DEEPS|or.on|FLOOD|lad.en*|FIELDS|of.at*|LA|ntis		1	1	2		1
	WH.ETHER*|in|IND|ian|DEEPS|or.on|FLOOD|lad*|EN*|fields*|OF*|at|LA|ntis		1			3	2
	WH.ETHER*|in|IND|ian|DEEPS|or.on|FLOOD.LAD*|en|FIELDS|of|AT*|la*|NTIS*		1		1	3	1
	WH.ETHER*|in|IND|ian|DEEPS|or.on|FLOOD|lad.en*|FIELDS|of|AT.LA*|ntis		1	2		2	1
	WH|ether.in*|IND|ian|DEEPS|or.on|FLOOD|lad.en*|FIELDS|of|AT.LA*|ntis		1	2	1	1	1
	WH|ether|IN|ind.ian*|DEEPS|or.on|FLOOD|lad.en*|FIELDS|of.at*|LA|ntis		2	2	1		2
	WH|ether|IN|ind.ian*|DEEPS|or.on|FLOOD|lad*|EN*|fields*|OF*|at|LA|ntis		2	1		2	3
	WH|ether|IN|ind.ian*|DEEPS|or.on|FLOOD|lad.en*|FIELDS|of|AT.LA*|ntis		2	3		1	2
Or by the roaring Horn, shrouded in silence he lies.	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed.in*|SI|lence.he*|LIES	2			3	1	
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed.in*|SI|lence|HE|lies*				2	1	1
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed|IN.SI*|lence|HE|lies*				2	1	1
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed.in*|SI|lence|HE|lies*				2	1	1
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed|IN.SI*|lence|HE|lies*				2	1	1
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed.in*|SI|lence|HE.LIES*				3	1	
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed.in*|SI|lence.he*|LIES				3	1	
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed|IN.SI*|lence|HE.LIES*				3	1	
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed|IN.SI*|lence.he*|LIES				3	1	
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed.in*|SI|lence|HE.LIES*				3	1	
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed|IN.SI*|lence|HE.LIES*				3	1	
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed|IN.SI*|lence.he*|LIES				3	1	
	or|BY*|the|ROAR|ing|HORN|shroud*|ED*|in|SI|lence|HE|lies*		1			2	2
	OR*|by.the|ROAR|ing|HORN|shroud*|ED*|in|SI|lence|HE|lies*		1			2	2
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed.in*|SI.LENCE*|he|LIES			1	2	2	
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed.in*|SI.LENCE*|he|LIES			1	2	2	
	or|BY*|the|ROAR|ing|HORN|shroud*|ED*|in|SI|lence|HE.LIES*		1		1	2	1
	or|BY*|the|ROAR|ing|HORN|shroud*|ED*|in|SI|lence.he*|LIES		1		1	2	1
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed|IN|si*|LENCE*|he|LIES		1		1	2	1
	OR*|by.the|ROAR|ing|HORN|shroud*|ED*|in|SI|lence|HE.LIES*		1		1	2	1
	OR*|by.the|ROAR|ing|HORN|shroud*|ED*|in|SI|lence.he*|LIES		1		1	2	1
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed|IN|si*|LENCE*|he|LIES		1		1	2	1
	or|BY*|the|ROAR|ing.horn*|SHROUD.ED*|in|SI|lence|HE|lies*			1	1	2	2
	or|BY*|the|ROAR.ING*|horn*|SHROUD|ed.in*|SI|lence|HE|lies*			1	1	2	2
	or|BY*|the|ROAR.ING*|horn*|SHROUD|ed|IN.SI*|lence|HE|lies*			1	1	2	2
	OR*|by.the|ROAR|ing.horn*|SHROUD.ED*|in|SI|lence|HE|lies*			1	1	2	2
	OR*|by.the|ROAR.ING*|horn*|SHROUD|ed.in*|SI|lence|HE|lies*			1	1	2	2
	OR*|by.the|ROAR.ING*|horn*|SHROUD|ed|IN.SI*|lence|HE|lies*			1	1	2	2
	or|BY*|the|ROAR|ing|HORN|shroud*|ED*|in|SI.LENCE*|he|LIES		1	1		3	1
	OR*|by.the|ROAR|ing|HORN|shroud*|ED*|in|SI.LENCE*|he|LIES		1	1		3	1
	or|BY*|the|ROAR|ing|HORN|shroud.ed*|IN.SI*|lence|HE|lies*		1	1	1	1	2
	or|BY*|the|ROAR|ing|HORN.SHROUD*|ed|IN|si.lence*|HE|lies*		1	1	1	1	2
	OR*|by.the|ROAR|ing|HORN|shroud.ed*|IN.SI*|lence|HE|lies*		1	1	1	1	2
	OR*|by.the|ROAR|ing|HORN.SHROUD*|ed|IN|si.lence*|HE|lies*		1	1	1	1	2
	or|BY*|the|ROAR.ING*|horn*|SHROUD.ED*|in|SI|lence|HE|lies*			2		3	2
	OR*|by.the|ROAR.ING*|horn*|SHROUD.ED*|in|SI|lence|HE|lies*			2		3	2
	or|BY*|the|ROAR.ING*|horn*|SHROUD.ED*|in|SI|lence|HE.LIES*			2	1	3	1
	or|BY*|the|ROAR|ing.horn*|SHROUD.ED*|in|SI.LENCE*|he|LIES			2	1	3	1
	or|BY*|the|ROAR.ING*|horn*|SHROUD|ed.in*|SI.LENCE*|he|LIES			2	1	3	1
	or|BY*|the|ROAR.ING*|horn*|SHROUD.ED*|in|SI|lence.he*|LIES			2	1	3	1
	OR*|by.the|ROAR.ING*|horn*|SHROUD.ED*|in|SI|lence|HE.LIES*			2	1	3	1
	OR*|by.the|ROAR|ing.horn*|SHROUD.ED*|in|SI.LENCE*|he|LIES			2	1	3	1
	OR*|by.the|ROAR.ING*|horn*|SHROUD|ed.in*|SI.LENCE*|he|LIES			2	1	3	1
	OR*|by.the|ROAR.ING*|horn*|SHROUD.ED*|in|SI|lence.he*|LIES			2	1	3	1
	or|BY*|the|ROAR.ING*|horn*|SHROUD.ED*|in|SI.LENCE*|he|LIES			3		4	1
	OR*|by.the|ROAR.ING*|horn*|SHROUD.ED*|in|SI.LENCE*|he|LIES			3		4	1
	or|BY*|the|ROAR|ing|HORN|shroud.ed*|IN|si.lence*|HE|lies*		2	2		1	3
	OR*|by.the|ROAR|ing|HORN|shroud.ed*|IN|si.lence*|HE|lies*		2	2		1	3
	or|BY*|the|ROAR|ing|HORN|shroud.ed*|IN|si.lence*|HE.LIES*		2	2	1	1	2
	OR*|by.the|ROAR|ing|HORN|shroud.ed*|IN|si.lence*|HE.LIES*		2	2	1	1	2
Few now remain who return by the weed-weary path to his cottage,	few|NOW|re|MAIN.WHO*|re|TURN|by.the|WEED.WE*|ary|PATH|to.his|COT|tage				2		
	few|NOW|re|MAIN|who.re*|TURN|by.the|WEED.WE*|ary|PATH|to.his|COT|tage				2		
	few|NOW|re|MAIN.WHO*|re|TURN|by|THE*|weed*|WE|ary|PATH|to.his|COT|tage				1	1	1
	few|NOW|re|MAIN|who.re*|TURN|by|THE*|weed*|WE|ary|PATH|to.his|COT|tage				1	1	1
	few|NOW|re|MAIN|who|RE.TURN*|by.the|WEED.WE*|ary|PATH|to.his|COT|tage			1	1	1	
	few|NOW|re|MAIN.WHO*|re|TURN|by.the|WEED|we.ary*|PATH|to.his|COT|tage		1		1		1
	few|NOW|re|MAIN|who.re*|TURN|by.the|WEED|we.ary*|PATH|to.his|COT|tage		1		1		1
	few|NOW|re|MAIN|who|RE.TURN*|by|THE*|weed*|WE|ary|PATH|to.his|COT|tage			1		2	1
	few|NOW|re|MAIN|who|RE.TURN*|by.the|WEED|we.ary*|PATH|to.his|COT|tage		1	1		1	1
	few|NOW|re.main*|WHO|re|TURN|by.the|WEED|we.ary*|PATH|to.his|COT|tage		2	1			2
	FEW|now*|RE*|main*|WHO|re|TURN|by|THE*|weed*|WE|ary|PATH|to.his|COT|tage		1			2	3
	few|NOW|re|MAIN|who|RE*|turn*|BY*|the|WEED|we.ary*|PATH|to.his|COT|tage		2			2	2
	FEW|now*|RE*|main*|WHO|re|TURN|by.the|WEED|we.ary*|PATH|to.his|COT|tage		2			1	3
Drawn by the scene as it was met by the chill and the change;	DRAWN|by.the|SCENE|as|IT|was|MET|by.the|CHILL|and.the|CHANGE	1					
Few are alive who report, and few are alive who remember,	FEW|are.al*|IVE|who.re*|PORT|and|FEW|are.al*|IVE|who.re*|MEM|ber	2			4		
	few|ARE*|al|IVE.WHO*|re|PORT|and.few|ARE*|al|IVE.WHO*|re|MEM|ber				2	2	
	few|ARE*|al|IVE.WHO*|re|PORT|and.few|ARE*|al|IVE|who.re*|MEM|ber				2	2	
	few|ARE*|al|IVE|who.re*|PORT|and.few|ARE*|al|IVE.WHO*|re|MEM|ber				2	2	
	few|ARE*|al|IVE|who.re*|PORT|and.few|ARE*|al|IVE|who.re*|MEM|ber				2	2	
	few|ARE*|al|IVE.WHO*|re|PORT|and|FEW|are.al*|IVE.WHO*|re|MEM|ber				3	1	
	few|ARE*|al|IVE.WHO*|re|PORT|and|FEW|are.al*|IVE|who.re*|MEM|ber				3	1	
	few|ARE*|al|IVE|who.re*|PORT|and|FEW|are.al*|IVE.WHO*|re|MEM|ber				3	1	
	few|ARE*|al|IVE|who.re*|PORT|and|FEW|are.al*|IVE|who.re*|MEM|ber				3	1	
	FEW|are.al*|IVE.WHO*|re|PORT|and.few|ARE*|al|IVE.WHO*|re|MEM|ber				3	1	
	FEW|are.al*|IVE.WHO*|re|PORT|and.few|ARE*|al|IVE|who.re*|MEM|ber				3	1	
	FEW|are.al*|IVE|who.re*|PORT|and.few|ARE*|al|IVE.WHO*|re|MEM|ber				3	1	
	FEW|are.al*|IVE|who.re*|PORT|and.few|ARE*|al|IVE|who.re*|MEM|ber				3	1	
	FEW|are.al*|IVE.WHO*|re|PORT|and|FEW|are.al*|IVE.WHO*|re|MEM|ber				4		
	FEW|are.al*|IVE.WHO*|re|PORT|and|FEW|are.al*|IVE|who.re*|MEM|ber				4		
	FEW|are.al*|IVE|who.re*|PORT|and|FEW|are.al*|IVE.WHO*|re|MEM|ber				4		
	few|ARE*|al|IVE.WHO*|re|PORT|and.few|ARE*|al|IVE|who|RE.MEM*|ber			1	1	3	
	few|ARE*|al|IVE|who|RE.PORT*|and.few|ARE*|al|IVE.WHO*|re|MEM|ber			1	1	3	
	few|ARE*|al|IVE|who|RE.PORT*|and.few|ARE*|al|IVE|who.re*|MEM|ber			1	1	3	
	few|ARE*|al|IVE|who.re*|PORT|and.few|ARE*|al|IVE|who|RE.MEM*|ber			1	1	3	
	few|ARE*|al|IVE.WHO*|re|PORT|and|FEW|are|AL*|ive*|WHO|re|MEM|ber		1		1	2	1
	few|ARE*|al|IVE|who.re*|PORT|and|FEW|are|AL*|ive*|WHO|re|MEM|ber		1		1	2	1
	FEW|are|AL*|ive*|WHO|re|PORT|and.few|ARE*|al|IVE.WHO*|re|MEM|ber		1		1	2	1
	FEW|are|AL*|ive*|WHO|re|PORT|and.few|ARE*|al|IVE|who.re*|MEM|ber		1		1	2	1
	few.are|AL*|ive*|WHO|re|PORT|and.few|ARE*|al|IVE.WHO*|re|MEM|ber		1		1	2	1
	few.are|AL*|ive*|WHO|re|PORT|and.few|ARE*|al|IVE|who.re*|MEM|ber		1		1	2	1
	FEW|are|AL*|ive*|WHO|re|PORT|and|FEW|are.al*|IVE.WHO*|re|MEM|ber		1		2	1	1
	FEW|are.al*|IVE.WHO*|re|PORT|and|FEW|are|AL*|ive*|WHO|re|MEM|ber		1		2	1	1
	FEW|are|AL*|ive*|WHO|re|PORT|and|FEW|are.al*|IVE|who.re*|MEM|ber		1		2	1	1
	FEW|are.al*|IVE|who.re*|PORT|and|FEW|are|AL*|ive*|WHO|re|MEM|ber		1		2	1	1
	few.are|AL*|ive*|WHO|re|PORT|and|FEW|are.al*|IVE.WHO*|re|MEM|ber		1		2	1	1
	few.are|AL*|ive*|WHO|re|PORT|and|FEW|are.al*|IVE|who.re*|MEM|ber		1		2	1	1
	few|ARE*|al|IVE|who|RE.PORT*|and.few|ARE*|al|IVE|who|RE.MEM*|ber			2		4	
	few|ARE*|al|IVE|who|RE.PORT*|and|FEW|are|AL*|ive*|WHO|re|MEM|ber		1	1		3	1
	FEW|are|AL*|ive*|WHO|re|PORT|and.few|ARE*|al|IVE|who|RE.MEM*|ber		1	1		3	1
	few.are|AL*|ive*|WHO|re|PORT|and.few|ARE*|al|IVE|who|RE.MEM*|ber		1	1		3	1
	FEW|are|AL*|ive*|WHO|re|PORT|and|FEW|are|AL*|ive*|WHO|re|MEM|ber		2			2	2
	few.are|AL*|ive*|WHO|re|PORT|and|FEW|are|AL*|ive*|WHO|re|MEM|ber		2			2	2
More of him now than a name carved somewhere on the sea.	MORE|of.him|NOW|than.a|NAME|carved*|SOME|where*|ON*|the|SEA	1				1	2
	MORE|of.him|NOW|than.a|NAME|carved*|SOME.WHERE*|on.the|SEA			1			1
	MORE|of.him|NOW|than.a|NAME|carved.some*|WHERE|on.the|SEA		1		1		1
	MORE|of.him|NOW|than.a|NAME.CARVED*|some*|WHERE|on.the|SEA		1		1		1
“Where is he lying?” I ask, and the lights in the valley are nearer;	WHERE|is.he|LY|ing.i*|ASK|and.the|LIGHTS|in.the|VAL|ley.are*|NEAR|er	2			2		
	where|IS|he|LY|ing|I.ASK*|and.the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er				1	1	
	where|IS|he|LY|ing.i*|ASK|and.the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er				1	1	
	WHERE|is.he|LY|ing|I.ASK*|and.the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er				1	1	
	WHERE|is.he|LY|ing.i*|ASK|and.the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er				1	1	
	where|IS|he|LY|ing|I.ASK*|and.the|LIGHTS|in.the|VAL|ley.are*|NEAR|er				2		
	where|IS|he|LY|ing.i*|ASK|and.the|LIGHTS|in.the|VAL|ley.are*|NEAR|er				2		
	WHERE|is.he|LY|ing|I.ASK*|and.the|LIGHTS|in.the|VAL|ley.are*|NEAR|er				2		
	where|IS|he|LY|ing|I|ask*|AND*|the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er					2	1
	WHERE|is.he|LY|ing|I|ask*|AND*|the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er					2	1
	where|IS|he|LY.ING*|i|ASK|and.the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er			1		2	
	WHERE|is.he|LY.ING*|i|ASK|and.the|LIGHTS|in.the|VAL.LEY*|are|NEAR|er			1		2	
Down to the streets I go, down to the murmur of men.	down|TO*|the|STREETS|i|GO|down|TO*|the|MUR|mur.of*|MEN				1	2	
	DOWN*|to.the|STREETS|i|GO|down|TO*|the|MUR|mur.of*|MEN				1	2	
	down|TO*|the|STREETS|i|GO|down|TO*|the|MUR|mur|OF*|men*					3	1
	DOWN*|to.the|STREETS|i|GO|down|TO*|the|MUR|mur|OF*|men*					3	1
	down|TO*|the|STREETS|i|GO|down|TO*|the|MUR.MUR*|of|MEN			1		3	
	DOWN*|to.the|STREETS|i|GO|down|TO*|the|MUR.MUR*|of|MEN			1		3	
Down to the roar of the sea in a ship may be well for another	DOWN*|to.the|ROAR|of.the|SEA|in.a|SHIP|may.be|WELL|for.an*|OTH|er	2			1	1	
	down|TO*|the|ROAR|of.the|SEA|in.a|SHIP|may.be|WELL|for.an*|OTH|er				1	1	
	down|TO*|the|ROAR|of.the|SEA|in.a|SHIP|may|BE|well*|FOR*|an|OTH|er					2	1
	DOWN*|to.the|ROAR|of.the|SEA|in.a|SHIP|may|BE|well*|FOR*|an|OTH|er					2	1
	down|TO*|the|ROAR|of.the|SEA|in.a|SHIP|may.be|WELL|for|AN.OTH*|er			1		2	
	DOWN*|to.the|ROAR|of.the|SEA|in.a|SHIP|may.be|WELL|for|AN.OTH*|er			1		2	
Down where he lies to-night, silent, and under the storms.	DOWN*|where.he|LIES|to|NIGHT.SIL*|ent.and*|UN|der.the*|STORMS [*Bounded]	1			3	1	
	down|WHERE|he|LIES|to|NIGHT.SIL*|ent.and*|UN|der.the*|STORMS				3		
	down|WHERE|he|LIES|to|NIGHT.SIL*|ent.and*|UN|der|THE*|storms*				2	1	1
	down|WHERE|he|LIES|to|NIGHT.SIL*|ent.and*|UN.DER*|the|STORMS			1	2	1	
	down|WHERE|he|LIES|to|NIGHT|sil*|ENT*|and|UN|der.the*|STORMS		1		1	1	1
	down|WHERE|he|LIES|to|NIGHT|sil*|ENT*|and|UN|der|THE*|storms*		1			2	2
	down|WHERE|he|LIES|to.night*|SIL.ENT*|and|UN|der.the*|STORMS			1	2	1	1
	down|WHERE|he|LIES|to|NIGHT|sil*|ENT*|and|UN.DER*|the|STORMS		1	1		2	1
	down.where|HE|lies*|TO*|night*|SIL|ent.and*|UN|der|THE*|storms*				1	2	3
	down|WHERE|he|LIES|to.night*|SIL.ENT*|and|UN|der|THE*|storms*			1	1	2	2
	down.where|HE|lies*|TO*|night*|SIL|ent.and*|UN.DER*|the|STORMS			1	1	2	2
	down.where|HE|lies*|TO*|night*|SIL.ENT*|and|UN|der.the*|STORMS			1	1	2	2
	down|WHERE|he|LIES|to.night*|SIL.ENT*|and|UN.DER*|the|STORMS			2	1	2	1
	down.where|HE|lies*|TO*|night*|SIL.ENT*|and|UN|der|THE*|storms*			1		3	3
	down.where|HE|lies*|TO*|night*|SIL.ENT*|and|UN.DER*|the|STORMS			2		3	2
Woman much missed, how you call to me, call to me,	WOM|an.much*|MISSED|how.you|CALL|to.me|CALL|to.me	2			1		
	WOM.AN*|much|MISSED|how.you|CALL|to.me|CALL|to.me					1	
	WOM|an|MUCH.MISSED*|how.you|CALL|to.me|CALL|to.me				1		
Saying that now you are not as you were	SAY|ing.that*|NOW|you.are|NOT|as.you|WERE*	2			1	1	
	SAY|ing|THAT.NOW*|you.are|NOT|as|YOU*|were				1	1	
	SAY|ing.that*|NOW|you.are|NOT|as|YOU*|were				1	1	
	SAY|ing|THAT.NOW*|you.are|NOT|as.you|WERE*				1	1	
	SAY|ing|THAT|now*|YOU*|are|NOT|as|YOU*|were					2	1
	SAY|ing|THAT|now*|YOU*|are|NOT|as.you|WERE*					2	1
	SAY|ing|THAT|now*|YOU*|are.not|AS*|you.were					2	1
	SAY.ING*|that|NOW|you.are|NOT|as|YOU*|were			1		2	
	SAY.ING*|that|NOW|you.are|NOT|as.you|WERE*			1		2	
When you had changed from the one who was all to me,	WHEN|you.had|CHANGED|from.the|ONE*|who.was|ALL|to.me	2				1	
	WHEN|you.had|CHANGED|from|THE*|one|WHO|was|ALL|to.me					1	
But as at first, when our day was fair.	BUT*|as.at|FIRST|when.our|DAY|was|FAIR	1				1	
	but.as|AT|first*|WHEN|our|DAY|was|FAIR						1
	but|AS*|at|FIRST|when.our|DAY|was|FAIR					1	
	but.as|AT.FIRST*|when.our|DAY|was|FAIR				1		
Can it be you that I hear? Let me view you, then,	can.it|BE|you.that|I|hear*|LET|me|VIEW|you|THEN						1
	can.it|BE|you.that|I|hear*|LET|me|VIEW|you.then						1
	can|IT|be.you|THAT|i|HEAR.LET*|me|VIEW|you|THEN				1		
	can.it|BE|you|THAT|i|HEAR.LET*|me|VIEW|you|THEN				1		
	can|IT|be.you|THAT|i|HEAR.LET*|me|VIEW|you.then				1		
	can.it|BE|you|THAT|i|HEAR.LET*|me|VIEW|you.then				1		
Standing as when I drew near to the town	STAND|ing.as*|WHEN|i.drew*|NEAR|to.the|TOWN [*Bounded]	2			2		1
	STAND|ing|AS*|when|I|drew*|NEAR|to.the|TOWN					1	1
	STAND|ing|AS*|when.i|DREW|near|TO*|the|TOWN					2	
	STAND|ing.as*|WHEN|i|DREW|near|TO*|the|TOWN				1	1	
	STAND|ing|AS*|when.i|DREW.NEAR*|to.the|TOWN				1	1	
	STAND|ing.as*|WHEN|i|DREW.NEAR*|to.the|TOWN				2		
Where you would wait for me: yes, as I knew you then,	WHERE|you.would|WAIT|for.me|YES|as.i|KNEW|you.then	2					
	WHERE|you.would|WAIT|for.me|YES|as.i|KNEW|you|THEN						
Even to the original air-blue gown!	EV|en|TO*|the.or*|IG|in.al*|AIR|blue*|GOWN	1		1	1	1	1
	EV|en|TO*|the.or*|IG.IN*|al|AIR|blue*|GOWN				1	2	1
	EV|en|TO.THE*|or|IG.IN*|al|AIR|blue*|GOWN				1	2	1
	EV|en.to*|THE*|or|IG.IN*|al|AIR|blue*|GOWN				1	2	1
	EV|en|TO.THE*|or|IG|in.al*|AIR|blue*|GOWN			1	1	1	1
	EV|en.to*|THE*|or|IG|in.al*|AIR|blue*|GOWN			1	1	1	1
	EV.EN*|to|THE*|or|IG.IN*|al|AIR|blue*|GOWN			1		3	1
	EV|en|TO*|the|OR.IG*|in.al*|AIR|blue*|GOWN			2		2	1
	EV.EN*|to|THE*|or|IG|in.al*|AIR|blue*|GOWN			2		2	1
	EV|en|TO*|the|OR*|ig*|IN*|al|AIR|blue*|GOWN		1			3	2
	ev*|EN*|to|THE*|or|IG.IN*|al|AIR|blue*|GOWN		1			3	2
	ev*|EN*|to|THE*|or|IG|in.al*|AIR|blue*|GOWN		1	1		2	2
Or is it only the breeze, in its listlessness	or|IS|it|ON|ly.the*|BREEZE|in.its|LISTLESSNESS				1		
	or|IS|it|ON|ly|THE*|breeze*|IN|its|LISTLESSNESS					1	1
	or|IS|it|ON.LY*|the|BREEZE|in.its|LISTLESSNESS			1		1	
Travelling across the wet mead to me here,	TRAV|el|LING*|acr|OSS|the|WET.MEAD*|to.me|HERE				1	1	
	TRA|velling.acr*|OSS|the|WET.MEAD*|to.me|HERE				2		
	TRAV|el|LING*|acr|OSS|the|WET|mead*|TO*|me|HERE					2	1
	TRAV|el|LING*|acr|OSS|the|WET|mead*|TO*|me.here					2	1
You being ever dissolved to wan wistlessness,	you|BE|ing|EV.ER*|dis|SOLVED|to|WAN|wistlessness*					1	1
	you|BE|ing|EV|er.dis*|SOLVED|to|WAN|wistlessness*				1		1
	you|BE|ing|EV.ER*|dis|SOLVED|to|WAN.WISTLESSNESS*				1	1	
	you|BE|ing|EV|er.dis*|SOLVED|to|WAN.WISTLESSNESS*				2		
Heard no more again far or near?	heard*|NO|more.ag*|AIN|far.or*|NEAR [*Bounded]	1			2		2
	heard*|NO|more.ag*|AIN.FAR*|or|NEAR [*Bounded]	1			2		1
	HEARD|no*|MORE|ag|AIN.FAR*|or|NEAR				1		1
	HEARD|no*|MORE|ag|AIN.FAR*|or.near				1		1
	HEARD|no*|MORE|ag|AIN|far*|OR*|near					1	2
	HEARD.NO*|more.ag*|AIN.FAR*|or|NEAR				3		
	HEARD.NO*|more.ag*|AIN.FAR*|or.near				3		
	HEARD|no*|MORE|ag.ain*|FAR|or|NEAR		1	1			2
	HEARD|no*|MORE|ag.ain*|FAR|or.near		1	1			2
Thus I; faltering forward,	THUS|i|FAL|ter.ing*|FOR|ward [*Bounded]	2		1			
	THUS|i|FALT|ering|FOR|ward						
Leaves around me falling,	LEAVES|aro|UND|me|FALL|ing	2					
Wind oozing thin through the thorn from norward,	wind*|OOZ|ing|THIN|through.the|THORN|from|NOR|ward						1
	WIND.OOZ*|ing|THIN|through.the|THORN|from|NOR|ward				1		
And the woman calling.	and.the|WOM|an|CALL|ing	1					
Why so pale and wan fond Lover?	WHY|so|PALE|and|WAN|fond*|LO|ver	2					1
	why.so|PALE|and|WAN|fond*|LO|ver						1
Prithee why so pale?	PRITHEE|why.so|PALE						
Will, when looking well can't move her,	WILL*|when*|LOOK|ing|WELL|can't*|MOVE|her [*Bounded]	2				1	2
	will.when|LOOK|ing|WELL|can't*|MOVE|her						1
Looking ill prevaile?	LOOK|ing|ILL|prevaile*						1
	LOOK|ing|ILL.PREVAILE*				1		
Prithee why so pale?	PRITHEE|why.so|PALE						
Why so dull and mute young Sinner?	WHY|so|DULL|and|MUTE|young*|SIN|ner	2					1
	why.so|DULL|and|MUTE|young*|SIN|ner						1
Prithee why so mute?	PRITHEE|why.so|MUTE						
Will, when speaking well can't win her,	WILL*|when*|SPEAK|ing|WELL|can't*|WIN|her [*Bounded]	2				1	2
	will.when|SPEAK|ing|WELL|can't*|WIN|her						1
Saying nothing doo't?	SAY|ing|NOTH|ing|DOO'T	2					
Prithee why so mute?	PRITHEE|why.so|MUTE						
Quit, quit, for shame, this will not move	quit*|QUIT|for|SHAME|this|WILL*|not|MOVE	2				1	1
	quit*|QUIT|for|SHAME|this.will|NOT|move*						2
	QUIT.QUIT*|for|SHAME|this|WILL*|not|MOVE			1		1	
	QUIT.QUIT*|for|SHAME|this.will|NOT|move*			1			1
	quit*|QUIT|for|SHAME|this.will|NOT.MOVE*				1		1
	QUIT.QUIT*|for|SHAME|this.will|NOT.MOVE*			1	1		
This cannot take her;	this|CAN|not|TAKE|her	2					
If of her selfe shee will not Love,	if|OF*|her|SELFE|shee*|WILL*|not|LOVE [*Bounded]	1				2	1
	IF*|of.her|SELFE|shee*|WILL*|not|LOVE [*Bounded]	1				2	1
	if.of|HER*|selfe*|SHEE|will.not|LOVE					1	1
	if|OF*|her|SELFE.SHEE*|will.not|LOVE				1	1	
	IF*|of.her|SELFE.SHEE*|will.not|LOVE				1	1	
Nothing can make her,	NOTH|ing.can*|MAKE|her	1			1		
	NOTH.ING*|can|MAKE|her					1	
The Devill take her.	the|DEVILL.TAKE*|her				1		
	THE*|devill*|TAKE|her					1	1
